,channelGrouping,date,device_browser,device_deviceCategory,device_isMobile,device_operatingSystem,fullVisitorId,geoNetwork_city,geoNetwork_continent,geoNetwork_country,geoNetwork_metro,geoNetwork_networkDomain,geoNetwork_region,geoNetwork_subContinent,sessionId,totals_bounces,totals_hits,totals_newVisits,totals_pageviews,totals_transactionRevenue,trafficSource_adContent,trafficSource_campaignCode,trafficSource_isTrueDirect,trafficSource_keyword,trafficSource_medium,trafficSource_referralPath,trafficSource_source,tsadclick_adNetworkType,tsadclick_gclId,tsadclick_isVideoAd,tsadclick_page,tsadclick_slot,visitId,visitNumber,visitStartTime
752,Direct,20160902,Chrome,desktop,FALSE,Linux,6.19E+18,Ann Arbor,Americas,United States,Detroit MI,,Michigan,Northern America,6194193421514403509_1472843572,,11,1,11,37860000,,,TRUE,,(none),,(direct),,,,,,1472843572,1,1472843572
753,Organic Search,20160902,Chrome,desktop,FALSE,Macintosh,5.33E+18,New York,Americas,United States,New York NY,,New York,Northern America,5327166854580374902_1472844906,,11,,10,306670000,,,TRUE,,organic,,google,,,,,,1472844906,3,1472844906
799,Referral,20160902,Chrome,desktop,FALSE,Linux,8.89E+18,New York,Americas,United States,New York NY,,New York,Northern America,8885051388942907862_1472827393,,13,,11,68030000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472827393,7,1472827393
802,Referral,20160902,Chrome,desktop,FALSE,Windows,1.85E+17,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,0185467632009737931_1472846398,,13,,12,26250000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472846398,6,1472846398
859,Referral,20160902,Chrome,desktop,FALSE,Macintosh,3.24E+18,,Americas,United States,,,,Northern America,3244885836845029978_1472824817,,17,,14,574150000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472824817,4,1472824817
866,Referral,20160902,Chrome,desktop,FALSE,Linux,3.35E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,3351538799616866750_1472855945,,17,,17,8380000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472855945,2,1472855945
893,Direct,20160902,Safari,desktop,FALSE,Macintosh,1.78E+18,San Jose,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,1776658355119092313_1472861525,,19,1,16,395730000,,,TRUE,,(none),,(direct),,,,,,1472861525,1,1472861525
910,Referral,20160902,Chrome,desktop,FALSE,Linux,7.70E+17,Seattle,Americas,United States,Seattle-Tacoma WA,,Washington,Northern America,770431600902969839_1472836071,,20,,15,24080000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472836071,13,1472836071
922,Organic Search,20160902,Chrome,mobile,TRUE,Android,7.15E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,directmusicservice.com,California,Northern America,7147112211830167925_1472853332,,22,1,16,35480000,,,,,organic,,google,,,,,,1472853332,1,1472853332
925,Referral,20160902,Chrome,desktop,FALSE,Chrome OS,6.66E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,6664733704830724714_1472853995,,22,,20,35080000,,,TRUE,,referral,/a/google.com/google-merchandise-store/home/on-site-store,sites.google.com,,,,,,1472853995,7,1472853995
930,Organic Search,20160902,Chrome,desktop,FALSE,Windows,6.05E+18,,Americas,United States,,zoominternet.net,,Northern America,6045930241388777741_1472825504,,22,,16,81500000,,,TRUE,,organic,,google,,,,,,1472825504,6,1472825504
942,Referral,20160902,Chrome,desktop,FALSE,Macintosh,1.55E+18,Sunnyvale,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,1546626226233851002_1472837482,,24,,21,546320000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472837482,3,1472837482
971,Referral,20160902,Chrome,desktop,FALSE,Linux,4.76E+18,New York,Americas,United States,New York NY,,New York,Northern America,4755168908070236728_1472849608,,27,,22,63840000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472849608,2,1472849608
974,Organic Search,20160902,Safari,mobile,TRUE,iOS,3.79E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,att.net,California,Northern America,3794016165791476291_1472832496,,28,1,20,117340000,,,,,organic,,google,,,,,,1472832496,1,1472832496
976,Referral,20160902,Chrome,desktop,FALSE,Macintosh,3.15E+17,,Americas,United States,,,,Northern America,0314733033105141755_1472879820,,28,1,21,43710000,,,,,referral,/,mall.googleplex.com,,,,,,1472879820,1,1472879820
999,Direct,20160902,Safari,desktop,FALSE,Macintosh,7.48E+17,,Americas,United States,,comcast.net,,Northern America,747690048733385763_1472823219,,33,,24,34480000,,,TRUE,,(none),,(direct),,,,,,1472823219,2,1472823219
1000,Organic Search,20160902,Chrome,desktop,FALSE,Macintosh,8.01E+18,Sunnyvale,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,8007300615127214527_1472850417,,34,,30,35390000,,,TRUE,,organic,,google,,,,,,1472850417,3,1472850417
1008,Referral,20160902,Chrome,desktop,FALSE,Macintosh,8.52E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,8516473451212465925_1472845932,,35,1,29,339030000,,,,,referral,/,mall.googleplex.com,,,,,,1472845932,1,1472845932
1020,Organic Search,20160902,Chrome,desktop,FALSE,Chrome OS,6.71E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,6712520540378436905_1472853233,,38,1,31,33670000,,,,,organic,,google,,,,,,1472853233,1,1472853233
1022,Referral,20160902,Chrome,desktop,FALSE,Windows,3.15E+18,Chicago,Americas,United States,Chicago IL,,Illinois,Northern America,3152246617474456269_1472828860,,38,,28,635500000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472828860,2,1472828860
1026,Referral,20160902,Chrome,desktop,FALSE,Macintosh,1.88E+18,,Americas,United States,,,,Northern America,1881458907401964229_1472849525,,41,1,26,103240000,,,,,referral,/,mall.googleplex.com,,,,,,1472849525,1,1472849525
1027,Referral,20160902,Chrome,desktop,FALSE,Windows,1.10E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,1095886019324498043_1472835680,,41,,34,305470000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472835680,2,1472835680
1037,Referral,20160902,Chrome,desktop,FALSE,Linux,8.59E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,8585031285178547027_1472858772,,47,,35,5150000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472858772,2,1472858772
1041,Referral,20160902,Chrome,desktop,FALSE,Chrome OS,3.74E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,3741689406060673010_1472858035,,50,,36,90850000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472858035,2,1472858035
1054,Referral,20160902,Chrome,desktop,FALSE,Macintosh,4.29E+18,Chicago,Americas,United States,Chicago IL,rcn.com,Illinois,Northern America,4293841073200012958_1472855651,,67,1,52,10590000,,,,,referral,/,mall.googleplex.com,,,,,,1472855651,1,1472855651
1055,Organic Search,20160902,Chrome,desktop,FALSE,Windows,6.43E+17,,Americas,United States,,,,Northern America,0643132668463442280_1472867400,,67,1,44,25680000,,,,,organic,,google,,,,,,1472867400,1,1472867400
1056,Referral,20160902,Chrome,desktop,FALSE,Macintosh,1.71E+18,,Americas,United States,,,,Northern America,1710046532262949205_1472835694,,72,,50,338970000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1472835694,2,1472835694
2774,Display,20170126,Chrome,desktop,FALSE,Macintosh,7.17E+18,New York,Americas,United States,New York NY,,New York,Northern America,7168226225550508027_1485452166,,42,,33,593910000,,,,,cpm,,dfa,,,,,,1485452166,3,1485452166
3161,Referral,20170126,Chrome,desktop,FALSE,Chrome OS,2.92E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,2923583380085498492_1485467793,,8,,8,44790000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1485467793,7,1485467793
3268,Referral,20170126,Chrome,desktop,FALSE,Macintosh,6.27E+16,,Americas,United States,,,,Northern America,62722204677243801_1485456962,,12,,10,30390000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1485456962,3,1485456962
3279,Organic Search,20170126,Safari,mobile,TRUE,iOS,4.36E+18,Tigard,Americas,United States,Portland OR,,Oregon,Northern America,4357414011161520512_1485484006,,12,1,10,10990000,,,,,organic,,google,,,,,,1485484006,1,1485484006
3287,Direct,20170126,Firefox,desktop,FALSE,Macintosh,4.29E+18,Santa Clara,Americas,United States,San Francisco-Oakland-San Jose CA,unknown.unknown,California,Northern America,4290831302541966980_1485456771,,13,1,11,24990000,,,TRUE,,(none),,(direct),,,,,,1485456771,1,1485456771
3317,Direct,20170126,Safari (in-app),mobile,TRUE,iOS,4.40E+18,,Americas,United States,,comcastbusiness.net,,Northern America,4395471984561333181_1485477841,,15,1,14,16970000,,,TRUE,,(none),,(direct),,,,,,1485477841,1,1485477841
3339,Direct,20170126,Safari,mobile,TRUE,iOS,5.84E+18,,Americas,United States,,,,Northern America,5843958474903500870_1485478912,,18,,9,8980000,,,TRUE,,(none),,(direct),,,,,,1485478912,2,1485478912
3353,Referral,20170126,Chrome,desktop,FALSE,Macintosh,8.95E+18,Ann Arbor,Americas,United States,Detroit MI,,Michigan,Northern America,8946514554986669717_1485446384,,20,,16,30720000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1485446384,5,1485446384
3355,Referral,20170126,Chrome,desktop,FALSE,Macintosh,4.63E+17,,Americas,United States,,,,Northern America,0463325773564352787_1485471506,,20,,16,44790000,,,,,referral,/,mall.googleplex.com,,,,,,1485471506,3,1485471506
3362,Organic Search,20170126,Chrome,desktop,FALSE,Windows,2.06E+17,,Americas,United States,,,,Northern America,205818826345710444_1485483505,,22,,17,11960000,,,TRUE,,organic,,google,,,,,,1485483505,6,1485483505
3364,Organic Search,20170126,Chrome,desktop,FALSE,Macintosh,6.39E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,6388824250276633832_1485474460,,23,,17,57570000,,,TRUE,,organic,,google,,,,,,1485474460,4,1485474460
3376,Organic Search,20170126,Chrome,desktop,FALSE,Windows,3.95E+18,,Americas,United States,,,,Northern America,3945894443419413506_1485470612,,25,,23,22970000,,,TRUE,,organic,,google,,,,,,1485470612,2,1485470612
3381,Organic Search,20170126,Chrome,desktop,FALSE,Windows,6.62E+17,Chicago,Americas,United States,Chicago IL,,Illinois,Northern America,661947368755840479_1485458220,,29,,21,236790000,,,TRUE,,organic,,google,,,,,,1485458220,4,1485458220
